,source_sentence,pred,bart_score_gold
2352,", Mahiada -RRB- -LRB- 1031 m -RRB- is a mountain in Turkey .",Mahiada -LRB- 1031 m -RRB- is a mountain in Turkey.,-2.840427399
2353,"Cyrillic alphabet was based on the Greek uncial script , augmented by ligatures and consonants from the older Glagolitic alphabet for sounds not found in Greek .","The Cyrillic alphabet was based on the Greek uncial script, augmented by ligatures and consonants from the older Glagolitic alphabet for sounds not found in Greek.",-3.27134037
2354,"afternoon , it was downgraded to a Category 1 hurricane , which Helene remained until becoming extratropical .","That afternoon, it was downgraded to a Category 1 hurricane, which Helene remained until becoming extratropical.",-1.670160055
2355,is a commune in the LOCATION@1 department in north-western LOCATION@2 .,Oisseau is a commune in the LOCATION@1 department in the northwest of LOCATION@2.,-3.699781418
2356,"epithet '' German war criminal '' and PERSON@1 's subsequent jibes refer to the Standard 's then owners , the ORGANIZATION@1 and ORGANIZATION@2 , which endorsed PERSON@2 's LOCATION@1 of Fascists in NUMBER@1 .","The epithet '' German war criminal '' and PERSON@1's subsequent jibes refer to the Standard's then owners, the ORGANIZATION@1 and ORGANIZATION@2, who supported PERSON@2's LOCATION@1 of Fascists in NUMBER@1.",-1.518152118
2357,"High Middle Ages was the period of European history in the 11th , 12th , and 13th centuries -LRB- AD NUMBER@1 NUMBER@2 -RRB- .","The High Middle Ages was a period of European history in the 11th, 12th and 13th centuries -LRB- AD NUMBER@1 NUMBER@2 -RRB-.",-0.618365824
2358,"is a genus of about NUMBER@1 species of trees native throughout most of the temperate LOCATION@1 , in LOCATION@2 -LRB- where the greatest species diversity is found -RRB- , LOCATION@3 and eastern LOCATION@4 ; they are not native to western LOCATION@4 .","Tilia is a genus of about NUMBER@1 species of trees native throughout most of the temperate LOCATION@1, in LOCATION@2 -LRB- where the greatest species diversity is found -RRB-, LOCATION@3 and eastern LOCATION@4 ; they are not native to western LOCATION@4.",-1.158279181
2359,"chromium -LRB- III -RRB- chloride may be prepared by chlorination of chromium metal directly , or indirectly by chlorination of chromium -LRB- III -RRB- oxide in the presence of carbon at NUMBER@1 C , with carbon monoxide as a side-product : PERSON@1 , Complexes and First-Row Transition Elements , ORGANIZATION@1 , LOCATION@1 , NUMBER@2 .","Anhydrous chromium -LRB- III -RRB- chloride may be prepared by chlorination of chromium metal directly or indirectly by chlorination of chromium -LRB- III -RRB- oxide in the presence of carbon at NUMBER@1 C, with carbon monoxide as a side-product : PERSON@1, Complexes and First-Row Transition Elements, ORGANIZATION@1,",-1.397043586
2360,"she is captured , PERSON@1 hides the plans in the memory of a droid called R2-D2 -LRB- PERSON@2 -RRB- , along with a holographic recording .","Before she is captured, PERSON@1 hides the plans in the memory of a droid called R2-D2 -LRB- PERSON@2 -RRB-, with a holographic recording.",-2.923312664
2361,Fantasy X-2 is a console role-playing game developed and published by Square -LRB- now Square Enix -RRB- for Sony 's PlayStation 2 .,Final Fantasy X-2 is a role-playing game made by Square Enix for PlayStation 2.,-2.342045784
2362,"the cache client -LRB- a CPU , web browser , operating system -RRB- needs to access a datum presumed to exist in the backing store , it first checks the cache . If an entry can be found with a tag matching that of the desired datum , the datum in the entry is used instead .","When the cache client -LRB- a CPU, web browser, operating system -RRB- needs to access a datum in the back store, it first checks the cache and if an entry can be found with a tag matching that of the datum, the datum in the entry is used instead.",-3.717765331
2363,"1973 he was appointed Ireland 's first European Commissioner , serving until 1976 when he became President .","In 1973 he was appointed Ireland's first European Commissioner, serving until 1976 when he became President.",-3.114467382
2364,"is a branch of continuum mechanics , a subject which models matter without using the information that it is made out of atoms , that is , it models matter from a macroscopic viewpoint rather than from a microscopic viewpoint .","It is a branch of continuum mechanics, a subject which models matter without using the information that it is made out of atoms, that is, it models matter from a macroscopic viewpoint rather than from a microscopic viewpoint.",-3.503593922
2365,"are so far known only from LOCATION@1 , while LOCATION@2 has species in most seas .","PERSON@1 are so far known only from LOCATION@1, while LOCATION@2 has species in most seas.",-2.477027416
2366,Class is the equivalent of business class on all Virgin Atlantic Airwaysâ flights .,Upper Class is the equivalent of business class on all Virgin Atlantic Airwaysâ flights.,-3.637232304
2367,Council was the first effort to attain consensus in the church through an assembly representing all of Christendom .,The Council was the first effort to reach consensus in the church through an assembly representing all of Christendom.,-4.105935097
2368,"by the combination of LOCATION@1 and Indian Territory on November NUMBER@1 , NUMBER@2 , LOCATION@2 was the 46th state to enter the union .","Formed by the combination of LOCATION@1 and Indian Territory on November NUMBER@1, NUMBER@2, LOCATION@2 was the 46th state to join the union.",-1.901677847
2369,"was discovered by PERSON@1 , PERSON@2 , et al .","It was found by PERSON@1, PERSON@2, et al.",-4.577539921
2370,5 | - style = '' background-color : #c 0ffff '' | Argon | | Ar | | 18 | | 39.948 -LRB- 1 -RRB- The isotopic composition varies in terrestrial material such that a more precise atomic weight can not be given .,15 5 | - style = '' background-color : #c 0ffff '' | Ar | | 18 | | 39.948 -LRB- 1 -RRB- The isotopic composition varies in terrestrial material such that a more precise atomic weight cannot be given.,-0.94598335
2371,"image graces many temples , restaurants , amulets , and businesses .","His image graces many temples, restaurants, amulets, and businesses.",-3.174757481
2372,", he initiated the construction of two new aqueducts in LOCATION@1 : the Aqua PERSON@1 and the Anio Novus .","However, he started the construction of two new aqueducts in LOCATION@1 : the Aqua PERSON@1 and the Anio Novus.",-1.685879827
2373,"received the Pulitzer Prize in 1953 for The Old Man and the Sea , and the Nobel Prize in Literature in 1954 .","He received the Pulitzer Prize in 1953 for The Old Man and the Sea, and the Nobel Prize in Literature in 1954.",-2.733776331
2374,"example , Northern Lights , won the Carnegie Medal for children 's fiction in the UK in 1995 ; the final volume , The Amber Spyglass , won both 2001 Whitbread Prize for best children 's book and the Whitbread Book of the Year prize in January 2002 .","For example, Northern Lights won the Carnegie Medal for children's fiction in the UK in 1995 ; the final volume, The Amber Spyglass, won both the 2001 Whitbread Prize for best children's book and the Whitbread Book of the Year prize in January 2002.",-2.461927891
2375,"ti is a commune located in Suceava County , Romania .","Todire ti is a commune found in Suceava, Romania.",-3.115439892
2376,"with many expletives , it can be used as an interjection or as many other parts of speech , and can carry a wide variety of meanings . Most commonly , it is a noun or interjection that refers to any use of misleading , disingenuous , or false language .","As with many expletives, it can be used as an interjection or as many other parts of speech, and can carry a wide variety of meanings.",-1.865868688
2377,ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- was a secret oath-bound fraternal organisation dedicated to the establishment of an '' independent democratic republic '' in LOCATION@1 in the mid nineteenth and early twentieth centuries .,The ORGANIZATION@1 -LRB- ORGANIZATION@2 -RRB- was a secret oath-bound fraternal organisation dedicated to the establishment of an '' independent democratic republic '' in LOCATION@1 in the mid nineteenth and early twentieth centuries.,-1.500856638
2378,"come in a variety of shapes , materials , sizes , colors and patterns , and they often have their own sections within department stores , while some shops are completely dedicated to selling curtains .","Curtains come in a variety of shapes, materials, sizes, colors and patterns. They often have their own sections within department stores.",-2.918202877
2379,is the administrative center of LOCATION@2 .,LOCATION@1 is the administrative center of LOCATION@2.,-4.018855572
2380,"and Kinross -LRB- Peairt agus Ceann Rois in Gaelic -RRB- is one of 32 unitary council areas in Scotland , and a Lieutenancy Area .",Perth and Kinross -LRB- Peairt agus Ceann Rois in Gaelic -RRB- is one of 32 unitary council areas in Scotland.,-0.655023813
2381,"is bounded by Kishoreganj District and Habiganj District on the north , Comilla District on the south , Habiganj District and Tripura State , India on the east and Meghna River , Kishoreganj District , Narsingdi District and Narayanganj District on the west .","Brahmanbaria is bordered by Kishoreganj District and Habiganj District on the north, Comilla District on the south, Habiganj District and Tripura State, India on the east and Meghna River, Kishoreganj District, Narsingdi District and Narayanganj District on the west.",-0.812327445
2382,"Abramovich Berezovsky -LRB- -RRB- -LRB- also known as Platon Elenin -RRB- -LRB- born January 23 , 1946 -RRB- , is a Russian businessman , billionaire , a mathematician and a member of Russian Academy of Sciences .","Boris Berezovsky -LRB- also known as Elenin -RRB- -LRB- born January 23, 1946 -RRB- is a Russian billionaire and mathematician.",-2.006051064
2383,"Le Souich is situated southwest of Arras , at the junction of the D59 and the D257 roads , on the border with the department of the Somme .","Geography Le Souich is situated southwest of Arras, at the junction of the D59 and the D257 roads, on the border with the department of the Somme.",-2.047739029
2384,means that many of the nights running up to 31 October are used by teenagers for acts of minor vandalism .,This means that many of the nights up to 31 October are used by teenagers for acts of minor vandalism.,-1.643477559
2385,"Muerto -LRB- alternatively , The Dead One , El Muerto : The Dead One , The Dead One : El Muerto , The Dead One : An American Legend -RRB- is a live-action independent film adaptation of the comic book series , El Muerto : The Aztec Zombie created by Javier Hernandez .","El Muerto -LRB- alternatively, The Dead One, El Muerto : The Dead One, The Dead One : An American Legend -RRB- is a live-action independent film adaptation of the comic book series El Muerto : The Aztec Zombie created by Javier Hernandez.",-1.232958674
