source_sentence,gold_sentence,pred
Other services using part of the LOCATION@1 to LOCATION@2 include LOCATION@1 to LOCATION@3 local trains .,Other services using part of the LOCATION@1 to LOCATION@2 include LOCATION@1 to LOCATION@3 local -LRB- close by -RRB- trains .,Other services using part of the LOCATION@1 to LOCATION@2 local trains.
The Quechuas of Ecuador call themselves as well as their language Kichwa - Kichwas or Quichuas .,The Kichwa-speaking group of Colombia are the Ingas .,The Quechuas of Ecuador call themselves as well as their language Kichwa - Kichwas or Quichuas.
"The Tibetan representatives who signed this document were PERSON@1 , a Buryat , i.e. citizen of LOCATION@1 , LOCATION@2 , and Gendun-Galsan a Tibetan citizen .","Those who signed for LOCATION@3 were PERSON@1 , Chijamts , and PERSON@2 , who lived in LOCATION@3 . PERSON@3 was a Buryat , a citizen of LOCATION@1 .","The Tibetan representatives who signed this document were PERSON@1, a citizen of LOCATION@1, LOCATION@2, and Gendun-Galsan, a Tibetan citizen."
"The White Huns , who seem to have been part of the Hephthalite group , established themselves in Afghanistan by the first half of the fifth century , with their capital at Bamiyan .","By the first half of the fifth century , a group of people known as Huns has settled in Afghanistan .","The White Huns established themselves in Afghanistan by the first half of the fifth century, with their capital at Bamiyan."
"If asked the difference between two objects , he also answered that ; but if there was no difference between the objects , he said '' none '' , which meant that he understood the concept of nothing or zero .","If he is asked the difference between two things , he will also answer that , but if there is no difference between the things , he will say '' none . ''","If asked the difference between two objects, he also said that ; but if there was no difference between the two objects, he said '' none ''."
The 16th century is the time from 1501 to 1600 .,"This category is for articles and events specifically related to the 16th century , which began in the year 1501 and ended in the year 1600 .",The 16th century was the time from 1501 to 1600.
"They are usually served as a sweet breakfast food , topped with butter and various syrups , but are also found in many different savory dishes , such as fried chicken and waffles or topped with kidney stew .","Waffles are served as a breakfast or as a dessert , and they are usually served with sweet sauces or toppings .","They are usually served as a sweet breakfast food, topped with butter and various syrups, but are also found in many different savory dishes, such as fried chicken and waffles or topped with kidney stew."
"The Mach number is named after Austrian physicist and philosopher Ernst Mach , a designation proposed by aeronautical engineer Jakob Ackeret .",It is named after the Austrian physicist Ernst Mach .,"The Mach number is named after Austrian physicist and philosopher Ernst Mach, a designation proposed by aeronautical engineer Jakob Ackeret."
"The stadium roof is toroidal in shape , and is suspended from steel cables attached to eight towers , which provide access to the upper tiers of seating via spiral ramps .",It is suspended from steel cables attached to eight towers . These provide access to the upper level of seating via spiral ramps .,"The stadium roof is toroidal in shape, and is suspended from steel cables attached to eight towers."
"Robert '' Bob '' Howard -LRB- born January 29 , 1963 -RRB- better known by his ring name Bob '' Hardcore '' Holly , is an American professional wrestler .","Robert William '' Bob '' Howard -LRB- born January 29 1963 -RRB- better known by his ring name Hardcore Holly , is an American professional wrestler .","Robert '' Bob '' Howard -LRB- born January 29, 1963 -RRB- better known by his ring name Bob '' Hardcore '' Holly, is an American wrestler."
"It was designed by the distinguished architects van PERSON@1 and PERSON@2 , and all open platforms have step-free access to the street and each other .",All open platforms have step-free access to the street and each other .,"It was designed by the architects van PERSON@1 and PERSON@2, and all open platforms have step-free access to the street and each other."
IsmaÃ '' l PERSON@1 -LRB- born NUMBER@1 January NUMBER@2 in LOCATION@1 -RRB- is a Guinean football striker who currently plays for ORGANIZATION@1 and the LOCATION@2 national team .,IsmaÃ '' l PERSON@1 -LRB- born NUMBER@1 January NUMBER@2 -RRB- is a Guinean football player .,Isma '' l PERSON@1 -LRB- born NUMBER@1 January NUMBER@2 -RRB- is a football player.
Sometimes people who desire a nullification may be diagnosed with body integrity identity disorder or apotemnophilia .,Why people do body modification,Sometimes people who wish a nullification may be diagnosed with body integrity identity disorder or apotemnophilia.
"Whole Foods Profile And , dill oil can be extracted from the leaves , stems and seeds of the plant .","Dill oil can be extracted from the leaves , stems and seeds of the plant .","And, dill oil can be extracted from the leaves, stems and seeds of the plant."
One of LOCATION@1 's most notable buildings is Old LOCATION@2 's ORGANIZATION@1 .,"One of LOCATION@1 's most notable historic sites is Old St. PERSON@1 's Church , the mother church of the ORGANIZATION@2 in LOCATION@3 .",One of LOCATION@1's most notable buildings is Old LOCATION@2's ORGANIZATION@1.
"PERSON@1 -LRB- May NUMBER@1 , NUMBER@2 â '' December NUMBER@3 , NUMBER@4 -RRB- , born PERSON@2 , was an American singer , actor and accomplished musician .","PERSON@3 -LRB- May NUMBER@1 , NUMBER@2 â '' December NUMBER@3 , NUMBER@4 -RRB- , better known as PERSON@1 , was an American pop singer , most famous during the NUMBER@5 .","PERSON@1 -LRB- May NUMBER@1, NUMBER@2 â '' December NUMBER@3, NUMBER@4 -RRB- was an American singer and musician."
These agencies require milk to be HTST pasteurized in order to qualify for the '' pasteurization '' label .,These agencies say milk has to be HTST pasteurized to have the '' pasteurized '' label .,These agencies require milk to be HTST pasteurized in order to qualify for the '' pasteurization '' label.
"Castricum -RRB- , Netherlands , 19 participants from 7 countries 1995 : Elsnigk , Germany 1991 : Ostend , Belgium , 21 participants 1980 : Namur , Belgium , 35 participants 1960 : Zürich , Switzerland , ca .","Castricum -RRB- , Netherlands - 19 participants from 7 countries 1995 : Elsnigk , Germany 1991 : Ostend , Belgium - 21 people 1980 : Namur , Belgium - 35 people 1960 : Zürich , Switzerland - ca .","Castricum -RRB-, Netherlands, 19 participants from 7 countries 1995 : Elsnigk, Germany 1991 : Ostend, Belgium, 21 participants 1980 : Namur, Belgium, 35 participants 1960 : Zürich, Switzerland, ca."
Quadratus and Quintianus were executed ; PERSON@1 was exiled to Capri and later killed .,"They were seized by the emperor 's bodyguard , and executed ; PERSON@1 was exiled to Capri and later killed .",Quadratus and Quintianus were executed.
"According to the ORGANIZATION@1 , the county has a total area of NUMBER@1 square miles -LRB- NUMBER@2 km -RRB- , of which NUMBER@3 square miles -LRB- NUMBER@4 km -RRB- is land and NUMBER@5 square miles -LRB- NUMBER@6 km -RRB- -LRB- NUMBER@7 % -RRB- is water .",PERSON@1 -LRB- town -RRB-,The total area of the county is NUMBER@1 square miles -LRB- NUMBER@2 km -RRB-.
"NUMBER@1 -LRB- Black Monday -RRB- ORGANIZATION@1 Industrial Average falls by NUMBER@2 % , NUMBER@3 points .",NUMBER@1 - -LRB- Black Monday -RRB- Dow Jones Industrial Average falls by NUMBER@2 % .,"NUMBER@1 -LRB- Black Monday -RRB- ORGANIZATION@1 Industrial Average falls by NUMBER@2 %, NUMBER@3 points."
"November NUMBER@1 & ndash ; LOCATION@1 joins the Swiss Confederation with PERSON@1 , LOCATION@2 , and LOCATION@3 .",December NUMBER@2 - Battle of PERSON@2 in LOCATION@4 .,"November NUMBER@1 - LOCATION@1 joins the Swiss Confederation with PERSON@1, LOCATION@2, and LOCATION@3."
"LOCATION@1 advances with solar power The Times , NUMBER@1 October NUMBER@2 .",Solar,"The Times, NUMBER@1 October NUMBER@2."
"Smith was closely allied with his brother , Maryland Senator Samuel Smith .",He was the brother of Senator Samuel Smith .,"Smith was closely allied with his brother, Maryland Senator Samuel Smith."
"Niccolò di PERSON@1 -LRB- NUMBER@1 May NUMBER@2 -- NUMBER@3 June NUMBER@4 -RRB- was an Italian philosopher , writer , and politician and is considered one of the main founders of modern political science .","PERSON@2 -LRB- May NUMBER@1 , NUMBER@2 -- June NUMBER@3 , NUMBER@4 -RRB- was a political philosopher , born in LOCATION@1 , LOCATION@2 .","Niccol di PERSON@1 -LRB- NUMBER@1 May NUMBER@2 -- NUMBER@3 June NUMBER@4 -RRB- was an Italian philosopher, writer, and politician."
PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 in Stockton-on-Tees -RRB- is an English professional footballer who currently plays as a midfielder for ORGANIZATION@1 in the ORGANIZATION@2 .,PERSON@2 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is an English football player .,PERSON@1 -LRB- born NUMBER@1 March NUMBER@2 -RRB- is an English football player.
"The plant then flowers , producing fruits and seeds before it finally dies .",The next spring\/summer the stem of the biennial plant becomes much longer .,"The plant then flowers, producing fruit and seeds before it dies."
"English dictionaries describe finger as meaning either one of the five digits including the thumb , or one of the four excluding the thumb -LRB- in which case they are numbered from 1 to 4 starting with the index finger closest to the thumb -RRB- .",four fingers,"English dictionaries describe finger as either one of the five digits including the thumb, or one of the four excluding the thumb -LRB- in which case they are numbered from 1 to 4 -RRB-."
It is also available for Mac OS XPorting Epiphany to Mac OS X and is a descendant of Galeon .,It is also available for Mac OS XEpiphany ported to Mac OS X and was made from Galeon .,It is also available for Mac OS X.
