source_sentence,simplified_sentence
"It has an all ORGANIZATION@1 fleet of NUMBER@1 narrow - and wide-body aircraft , consists of A320s , A321s and A330s .","It has a fleet of NUMBER@2 aircrafts , including ORGANIZATION@1 A320s , A321s and A330s ."
"When Eric was a year old , Ida Blair took him to England .","When Eric was one year old , Ida took him to England ."
"The ORGANIZATION@1 are a Welsh railway preservation society , presently based on the preserved LOCATION@1 .",The ORGANIZATION@1 are a Welsh railway preservation society . They are presently based on the preserved LOCATION@1 .
"Their first demo , '' Rivfader '' -LRB- '' Ripfather '' -RRB- , was recorded about a year later , in NUMBER@1 .","One year later they recorded their first demo , PERSON@1 ."
"Yalkut I , NUMBER@1 of the Talmud speaks of PERSON@1 as PERSON@2 's guardian angel .","Yalkut I , NUMBER@1 of the LOCATION@1 says PERSON@1 is PERSON@2 's guardian angel ."
"bar NUMBER@1 at NUMBER@2 fontsize : XS text : NUMBER@3 shift : -LRB- -8,5 -RRB-","bar NUMBER@4 at NUMBER@5 fontsize : XS text : NUMBER@6 shift : -LRB- -8,5 -RRB-"
"While there he began planning the design and construction of a suitable mausoleum and funerary garden in Agra for his wife , a task that would take more than 22 years to complete , the Taj Mahal .","While there he began planning the design and construction of a suitable mausoleum , a kind of tomb , and a garden in Agra for his wife , a task that would take more than 20 years to complete , the Taj Mahal ."
"1928 & ndash ; John Forbes Nash , American mathematician , Nobel laureate","1928 - John Forbes Nash , American mathematician"
"He studied law in the office of Chief Justice PERSON@1 , and was admitted to the bar at LOCATION@1 , LOCATION@2 in NUMBER@1 .","He studied law in the office of Chief Justice PERSON@1 , and was admitted to the bar in LOCATION@1 , LOCATION@2 in NUMBER@1 ."
"Since 1998 it has been on display at the South Tyrol Museum of Archaeology in Bolzano , Trentino-Alto Adige\/S Ã 1\/4 dtirol .",His body and belongings are now displayed in the South Tyrol Museum of Archaeology in Bolzano in the Southern Tyrol -LRB- Trentino-Alto Adige\/S Ã 1\/4 dtirol -RRB- .
"In cooking , a consommÃ is a type of clear soup made from richly flavored stock or bouillon that has been clarified usually through a fining process involving egg protein .","In cooking , a consommÃ is a type of clear soup made from richly flavored stock or bouillon . '' Double '' consommÃ is clarified often through a fining process involving egg protein ."
"In the NUMBER@1 â '' NUMBER@2 NUMBER@3 Grand Prix season , PÃ rez took part in a single round of the championship for NUMBER@3 Team Mexico .",PÃ rez took part one round of the NUMBER@1 â '' NUMBER@2 NUMBER@3 Grand Prix season .
Hedingen is a municipality in the district of Affoltern in the canton of ZÃ 1\/4 rich in Switzerland .,Hedingen is a municipality of the district Affoltern in the canton of ZÃ 1\/4 rich in Switzerland .
"The Vostok 3KA spacecraft was launched on April 12 , 1961 , taking into space Yuri Gagarin , a cosmonaut from the Soviet Union .","It used a Vostok 3KA spacecraft , and was launched on April 12 , 1961 . It took into space Yuri Gagarin , a cosmonaut from the Soviet Union ."
"Hudson was voted '' Star of the Year , '' '' Favorite Leading Man , '' and similar titles by numerous movie magazines and was unquestionably one of the most popular and well-known movie stars of the time .","Hudson was voted Star of the Year and Favorite Leading Man , by many movie magazines and was one of the most popular movie stars of the time ."
"This flag was introduced to the Congress of the Republic of Texas on December 28 , 1838 , by Senator William H. Wharton .","This flag was introduced to the Republic of Texas on December 28 , 1838 , by Senator William H. Wharton ."
"Saint PERSON@1 has traditionally been associated with the founding of the order , but few clear records of early Carmelite history have survived and this is likely to be a later extrapolation by hagiographers .","Saint PERSON@1 has traditionally been associated with the founding of the order , but few clear records of early Carmelite history have survived and this is likely to be a later invention ."
"When Green tore his ACL in a preseason game , Warner took over as the Rams ' starter .","When their main quarterback Trent Green was injured in a preseason game , Warner became the starter ."
The Albania national football team is the national football team of Albania and is controlled by the Football Association of Albania .,Albania national football team is the national football team of Albania .
"Educated at the ORGANIZATION@1 , in the LOCATION@1 and ORGANIZATION@2 in the LOCATION@2 , PERSON@1 was noted for his stagnating economic initiatives and repressive internal policies .",He was educated at the ORGANIZATION@1 in the LOCATION@1 and ORGANIZATION@3 in the LOCATION@2 .
"However , it was learned that he suffered from severe depression .",It was learned that he suffered from severe depression .
"The first performance of PERSON@1 's setting took place at the Burgtheater in LOCATION@1 on January NUMBER@1 , NUMBER@2 .",The first performance was at the Burgtheater in LOCATION@1 on January NUMBER@1 NUMBER@2 .
"There were other Homo species , all of which are now extinct .","There were other species in there , but they became extinct ."
"PERSON@1 reigned until November NUMBER@1 , NUMBER@2 during the German Revolution , when the Workers ' and ORGANIZATION@1 deposed him .",PERSON@2 reigned until NUMBER@1 November NUMBER@2 when the Workers ' and ORGANIZATION@1 deposed him during the German Revolution .
"In the Roman calendar , March NUMBER@1 was known as the Ides of March .",In the Roman calendar March NUMBER@1 was known as the Ides of March .
"With an area of NUMBER@1 sq mi -LRB- NUMBER@2 km ² -RRB- , LOCATION@1 covers a large part of the highly fertile and densely populated upper LOCATION@2 plain .","And covers an area of NUMBER@1 sq mi -LRB- NUMBER@2 km ² -RRB- , it is bigger than the LOCATION@3 but smaller than LOCATION@4 ."
"BÃ rurier noir is a French punk band formed in LOCATION@1 in NUMBER@1 by PERSON@1 -LRB- guitar -RRB- , FranÃ ois -LRB- vocals -RRB- and DÃ dÃ -LRB- drum machine -RRB- .","BÃ rurier Noir are a French punk band which formed in LOCATION@1 in NUMBER@1 . It is made up of PERSON@1 -LRB- guitar -RRB- , FranÃ ois -LRB- vocals -RRB- and PERSON@2 -LRB- drum machine -RRB- ."
"ORGANIZATION@1 NUMBER@1 , known in LOCATION@1 as , is a video game developed by ORGANIZATION@2 for the Nintendo DS handheld game console .","ORGANIZATION@1 NUMBER@1 , known in LOCATION@1 as ORGANIZATION@3 NUMBER@1 is an action role-playing video game made by ORGANIZATION@2 for the Nintendo DS game console ."
PERSON@1 is a commune in the LOCATION@1 department in the region of LOCATION@2 in northwestern LOCATION@3 .,It is found in the region Pays de la LOCATION@4 in the LOCATION@1 department in the west of LOCATION@3 .
"In 1905 , construction was begun on both the Watab Pulp and Paper Company as well as on the Sartell Dam across the Mississippi near the '' third rapids '' .","In 1905 , some people started to build the Watab Pulp and Paper Company . They also started to build the Sartell Dam across the Mississippi near the '' third rapids '' ."
It is located right on the banks of the LOCATION@1 .,It is right on the banks of the LOCATION@2 .
"Mandel also provided the voice of both Bobby and his father Howard Generic , who looks like a cartoon version of Mandel himself .","Mandel also provided the voice of both Bobby and his father Howard Generic , who looks like a cartoon version of Mandel ."
"In the courts of Europe , particularly Versailles and Whitehall in the 17th and 18th centuries , a mistress often wielded great power and influence .","In the courts of Europe , particularly Versailles and Whitehall in the 17th and 18th centuries , a mistress often had great power and influence ."
"The Han River is a major river in South Korea and the fourth longest river on the Korean peninsula after the Amnok , Duman , and Nakdong rivers .",The Han River is a major river in South Korea and the fourth longest river in the Korean Penisula .
"Diana Jean Krall , OC , OBC -LRB- born November 16 , 1964 -RRB- is a Grammy Award-winning Canadian jazz pianist and singer .","Diana Krall -LRB- born November 16 , 1964 -RRB- is a Canadian jazz singer and pianist from Nanaimo , British Columbia ."
Salperwick is a commune in the Pas-de-Calais department in the Nord-Pas-de-Calais region of France .,Salperwick is a commune . It is found in the Nord-Pas-de-Calais region in the Pas-de-Calais department in the north of France .
"A criterium , or crit , is a bike race held on a short course -LRB- usually less than NUMBER@1 km -RRB- , often run on closed-off city centre streets .","A criterium , or crit , is a type of bicycle race held on a short course -LRB- usually less than NUMBER@1 km -RRB- , often run on closed-off city centre streets ."
"It comprises the inside curve or Big Bend area of the western coast of the state and encompasses Citrus , Dixie , Hernando , Jefferson , Pasco , Levy , Taylor , and Wakulla counties .","It is made up of the Big Bend -LRB- Florida -RRB- area of the western coast and includes Citrus , Dixie , Hernando , Jefferson County , Pasco County , Levy County , Taylor County , and Wakulla County counties ."
"PERSON@1 -LRB- born NUMBER@1 May NUMBER@2 -RRB- is an Australian comedian and Gold LogieABC 's LOCATION@1 , PERSON@2 and ORGANIZATION@1 nominated for Gold PERSON@3 nominated television presenter , and was the host of the ORGANIZATION@2 's weekly interview program Enough Rope .","PERSON@1 -LRB- born May NUMBER@1 , NUMBER@2 -RRB- is an Australian comedian and television presenter who likes to make fun of politics ."
