,source_sentence,simplified_sentence
418287,"The town was historically agricultural , but began experiencing suburban sprawl in the later decades of the 20th century , which continues currently .","The town was in the past agricultural , but began experiencing suburban sprawl in the later decades of the 20th century , which continues today ."
400764,The city of LOCATION@1 in LOCATION@2 is renamed LOCATION@3 after the ORGANIZATION@1 al-din of LOCATION@4 unsuccessfully invades PERSON@1 's eastern province of LOCATION@5 .,PERSON@2 of LOCATION@4 unsuccessfully invades PERSON@1 's eastern province of LOCATION@5 . The city of LOCATION@1 in LOCATION@2 is renamed LOCATION@3 after the ORGANIZATION@2 Sultan of LOCATION@6 Nasir-ad-Din Shaban II is succeeded by PERSON@3 .
366252,Pluwigerhammer - Hinzenburg - PERSON@1 : NUMBER@1 km,Waldrach - Sommerau - Gusterath-Tal - Pluwigerhammer :
583050,Most of his stereophonic recordings for ORGANIZATION@1 were made with the LPO .,PERSON@1 made many recordings with the orchestra .
245423,"Scar informs Mufasa of Simba 's predicament , and Mufasa successfully rescues Simba , throwing him clear of the gorge .",Scar tells Mufasa that Simba is in trouble and Mufasa rescues his son .
148845,"He made his debut at La Scala , Milan , with Don Giovanni in November 2006 .","He conducted Don Giovanni at La Scala , Milan , in November 2006 ."
517411,"It was assigned the name PERSON@1 , after PERSON@2 , the PERSON@3 rain god , in August NUMBER@1 by the ORGANIZATION@1 -LRB- IAU -RRB- .","It was given the name PERSON@1 , after PERSON@2 , the PERSON@3 rain god , in August NUMBER@1 by the ORGANIZATION@1 -LRB- IAU -RRB- ."
150838,"And he received a master degree from the University of Pittsburgh , and his PhD from the University of Pennsylvania at the age of 25 .","Lee received a master degree from the University of Pittsburgh , and his Ph.D. from the University of Pennsylvania at the age of 25 ."
262686,Giza has seen some changes over time .,The city itself has seen some changes over time .
271557,"Lemon juice is about 5 % to 6 % -LRB- approximately 0.3 Molar -RRB- citric acid , which gives lemons a sour taste , and a pH of 2 to 3 .",Lemons taste sour .
198609,"A step up in terms of production from the rehearsal quality of most of their demos , the album was still nevertheless a sparse and embryonic version of what was to come , with lead singer Dani Filth 's vocals in particular bearing little similarity to the style he was later to develop .",Dani Filth - Vocals
579994,"Every iteration of Link wears a green tunic , undershirt and long green cap and has long , pointed ears , a distinctive trait of the Hylian race and their descendants .","Link wears a green shirt and a long , floppy green hat on his head ."
22058,"Refraction of light is the most commonly observed phenomenon , but any type of wave can refract when it interacts with a medium , for example when sound waves pass from one medium into another or when water waves move into water of a different depth .",Refraction is seen most often when a wave passes from a medium to a different medium .
327289,"PERSON@1 joined the ORGANIZATION@1 in NUMBER@1 , reportedly to avoid detrimental treatment when he was a law clerk .",PERSON@1 joined the ORGANIZATION@2 in NUMBER@1 . This was when he was a law clerk .
262476,"Uurad is succeeded by Bred , then Ciniod as King of the Picts .","Uurad is succeeded by Bred , then Ciniod ."
272539,Art and the Artist : An Interview with Clive Barker Strange Horizons interview,-LRB-/O2004/O-RRB- -LRB- second book of the Abarat Quintet -RRB-
97784,Her entry to the group É o Tchan !,A Invasão -LRB- direction : Gabriel Carmona -RRB-
414846,"As the town of LOCATION@1 grew into a city , the only direction it could grow on the island was toward the north , proceeding upriver from the original settlement -LRB- the '' up '' and '' down '' terminology in turn came from the customary map design in which up was north and down was south -RRB- .",Uptown refers to a wealthy area of a city .
236713,"The third movement , marked Allegretto , is a minuet and trio -LRB- Aâ '' Bâ '' A -RRB- . The minuet is in the home key of G major and the trio section is in D major .",The third movement is a minuet and trio -LRB- ABA -RRB- in G major .
503242,"He was also a co-founder of the PERSON@1 and ORGANIZATION@1 , which was set up in their memory to provide support for children who are the victims of violent crime .",He helped create the PERSON@1 and ORGANIZATION@1 to help children who are the victims of violent crime
59670,The origin of the name Bezenye comes from a Slav word meaning '' elder '' tree -LRB- '' baza '' -RRB- .,'' Bezenye '' is the Hungarian name .
417312,"PERSON@1 '' Leo '' Fender -LRB- August NUMBER@1 , NUMBER@2 -- March NUMBER@3 , NUMBER@4 -RRB- was an American inventor who founded ORGANIZATION@1 , now known as ORGANIZATION@2 , and later founded PERSON@2 and ORGANIZATION@3 -LRB- ORGANIZATION@4 -RRB- .","PERSON@3 -LRB- August NUMBER@1 , NUMBER@2 - March NUMBER@3 , NUMBER@4 -RRB- , also known as PERSON@4 , was an American instrument maker ."
115125,"After the 1843 invasion by Charles Napier , Sindh was divided into provinces and was assigned a Zamindars , also known as Wadaras , to collect taxes for the British .",Pithoro Tehsil
420379,"A major suspect in the drug trafficking between the Sicilian Mafia and the ORGANIZATION@1 , PERSON@1 copped a plea and was released on May NUMBER@1 , NUMBER@2 .","A major suspect in the drug trafficking between the Sicilian Mafia and the ORGANIZATION@1 , PERSON@1 is currently incarcerated ."
502427,"One example is the increase in surface area to volume ratio altering mechanical , thermal and catalytic properties of materials .",One example is the increase in amount of surface area for the volume inside it .
378093,"Indeed , red beans and rice is very much part of the LOCATION@1 identity .","Once the red beans and the rice are done , the red beans are served over the rice like a sauce . There is usually about an equal amount of red beans and rice , but some people like to have more red beans or more rice ."
358460,"Elim is a city in LOCATION@1 , LOCATION@2 , LOCATION@3 .",Elim is a city in LOCATION@2 .
116516,"Preserve the network location , if any , given in the Document for public access to a Transparent copy of the Document , and likewise the network locations given in the Document for previous versions it was based on .",You should do the same for the network locations of the old versions the Document was based on .
588168,"Geography LOCATION@1 is located in LOCATION@2 's inner city , west of the LOCATION@3 park .","Geography LOCATION@1 is located along the river Spree within the LOCATION@4 glacial valley , west of the LOCATION@3 park ."
426761,"Flight The ORGANIZATION@1 Flight NUMBER@1 aircraft was a ORGANIZATION@2 767-223ER delivered in NUMBER@2 , registration number N334AA .",The ORGANIZATION@1 Flight NUMBER@1 aircraft was a ORGANIZATION@2 NUMBER@3 .
179020,Laarne is a municipality located in the Belgian province of East Flanders .,Geografische
178786,"A backpack -LRB- also called rucksack , knapsack , packsack , pack , Haversack , or Bergen -RRB- is a cloth sack put on someone or something 's back .","A backpack -LRB- also called rucksack , knapsack , packsack , pack , Haversack , or Bergen -RRB- is a cloth sack put on somebody 's back ."
583263,"They include familiar organisms such as trees , flowers , herbs , bushes , grasses , vines , ferns , mosses , and green algae .","Plants include familiar types such as trees , herbs , bushes , grasses , vines , ferns , mosses , and green algae ."
459328,"Its older houses are very Italian in appearance , while its most prominent buildings -LRB- LOCATION@1 , former Jesuits ' college and Ursuline convent -RRB- all date from the 17th century , and are due to the generosity of a single member of the local PERSON@1 family , the baron PERSON@2 .","During the summer season , heat can be intense ."
402522,The violence erupted after a majority of eligible voters in the population of LOCATION@1 chose independence from LOCATION@2 .,"LOCATION@3 President PERSON@1 eventually threatened LOCATION@2 , that the ORGANIZATION@1 loans would be stopped ."
78699,"The match took place at the Estudiantes de La Plata ' field , where Gimnasia y Esgrima won 1 â '' 0 .","The match took place at the Estudiantes de La Plata ' field -LRB- 1st and 57th streets -RRB- , where Gimnasia y Esgrima defeated its classic rival 1 â '' 0 ."
490151,"It is a compound of nitrogen and hydrogen , having chemical formula HN3 .",Its chemical formula is HN3 .
279923,"Salmon belong to the same family as trout but , unlike most trout , most salmon species spend almost all their lives in salt water .",There are many different kinds of trout . They belong to the same family as the salmon .
471045,The corresponding sort of cell division in prokaryotes is known as binary fission .,"For simple unicellular organisms like amoeba , one cell division reproduces the entire organism ."
457121,Condé - en-Brie,PERSON@1
490751,"ORGANIZATION@1 & ndash ; ORGANIZATION@2 , LOCATION@1",ORGANIZATION@1
18402,"Providence serves as Rhode Island 's capital , housing the Rhode Island General Assembly as well as the offices of the Governor and the Lieutenant Governor in the Rhode Island State House .","Providence is the capital and largest city in Rhode Island , a state of the United States of America ."
301751,"Their first demo , '' Rivfader '' -LRB- '' Ripfather '' -RRB- , was recorded about a year later , in NUMBER@1 .","One year later they recorded their first demo , PERSON@1 ."
211839,Some believe that by not electing McGwire to the Hall the voters were establishing a '' referendum '' on how they would treat players from the '' Steroid Era '' .,"Some believe that by not electing McGwire to the Hall , the voters were starting a '' guideline '' on how they would treat players from the '' Steroid Era '' ."
397670,This emperor is traditionally venerated at a memorial Shinto shrine -LRB- misasagi -RRB- at LOCATION@1 .,This emperor is venerated at a memorial Shinto shrine -LRB- misasagi -RRB- in LOCATION@1 .
186424,"Maynard James Keenan -LRB- born James Herbert Keenan on April 17 , 1964 -RRB- is an American rock singer , songwriter , musician , record producer , winemaker , and actor .","Maynard James Keenan -LRB- born James Herbert Keenan on April 17 , 1964 -RRB- is an American rock singer , songwriter , musician , and producer ."
253899,That settlement was soon to be completed with the construction of a small church dedicated to Saint Vincent .,Image : San Miguel de Lillo 1 .
168476,"Formed in 2001 , the group consists of vocalists Jake Shears and Ana Matronic , multi-instrumentalist Babydaddy , lead guitar\/bassist , Del Marquis , and drummer Randy Real who replaced former drummer Paddy Boom .",The Scissor Sisters are a music group .
